Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Power Plug 1,Socket,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.692400000",0.012418,28,0x3d95,,187.0,,
Coordinator,Coordinator,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.695580000",0.00318,28,0x0000,,67.0,,
Ledvance Bulb,Bulb,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.710444000",0.014864,28,0xec7f,,110.0,,
Power Plug 2,Socket,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.739194000",0.02875,28,0xa706,,142.0,,
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 17:35:17.757532000",0.018338,54,0x0000,0xa706,68.0,0x0000,0x5bb9
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.759613000",0.002081,5,,,68.0,,
Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 17:35:17.763250000",0.003637,54,0xa706,0x5bb9,143.0,0x0000,0x5bb9
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.765362000",0.002112,5,,,143.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.768747000",0.003385,55,0x5145,0x0706,112.0,,
Power Plug 2,Socket,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 17:35:17.774404000",0.005657,57,0xa706,0x0000,144.0,0x5bb9,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.776611000",0.002207,5,,,144.0,,
Philips Lamp 2,Bulb,Power Plug 2,Socket,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.820227000",0.043616,53,0x5bb9,0xa706,113.0,,
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 17:35:17.832708000",0.012481,53,0x5bb9,0xa706,113.0,0x5bb9,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.834758000",0.00205,5,,,113.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.838283000",0.003525,53,,,150.0,,
Power Plug 2,Socket,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 17:35:17.843078000",0.004795,53,0xa706,0x0000,145.0,0x5bb9,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.845157000",0.002079,5,,,145.0,,
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 17:35:17.884971000",0.039814,54,0x0000,0xa706,69.0,0x0000,0x5bb9
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.887051000",0.00208,5,,,69.0,,
Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 17:35:17.890880000",0.003829,54,0xa706,0x5bb9,146.0,0x0000,0x5bb9
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.892991000",0.002111,5,,,146.0,,
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 17:35:17.897499000",0.004508,55,0x5bb9,0xa706,114.0,0x5bb9,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.899612000",0.002113,5,,,114.0,,
