Device Name,Device Type,File Name,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.8,12.911235417263525,0.1051526,0.2266897956708682,224.0,67.0,130.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,62.6,12.798437404620923,0.1661794,0.2334389957704153,228.0,68.0,162.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,62.2,13.16054710108968,0.1662224,0.2334011284426448,228.0,72.0,165.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.6,13.011533345459329,0.1663718,0.2332734891799751,230.0,72.0,167.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,65.2,9.203260291874832,0.1666418,0.233038600481122,230.0,81.0,198.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,63.0,7.7781745930520225,0.0655001999999999,0.1359034180592968,230.0,81.0,199.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,59.0,5.522680508593631,0.004362,0.0020640255570123,230.0,81.0,171.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.8,4.54972526643093,0.0054101999999999,0.0017895719320552,231.0,84.0,201.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,58.2,8.64291617453276,0.0042774,0.0021397086951265,231.0,84.0,172.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.6,9.813256340277675,0.0035979999999999,0.0024097112897606,231.0,84.0,143.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.8,12.911235417263525,0.214826,0.4730803749137138,234.0,84.0,144.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,58.6,13.049904214207858,0.3558054,0.4984846427863149,237.0,85.0,175.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,55.4,12.739701723352866,0.3548804,0.4992970974468007,237.0,85.0,147.6
