Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:01.247380",0.004341,45,0x482d,0x6e5f,0x8861,147.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:01.253859",0.006479,45,0x482d,0x6e5f,0x8861,147.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:55:01.287123",0.002925,54,0x6e5f,0xc8f0,0x8861,25.0,,,,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:55:01.299831",0.001737,107,0xc8f0,0x0000,0x886b,56.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:01.393366",0.00453,45,0x482d,0x6e5f,0x8861,151.0,,,,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 13:55:01.981599",0.51244,65,0xebe5,0xffff,0x8841,181.0,0xebe5,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 13:55:02.023719",0.04212,108,0x09ac,0xffff,0x886c,253.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:03.261922",0.00523,55,0x482d,0x0000,0x8861,156.0,0x482d,0x0000,0x1a09,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:03.357644",0.00537,55,0x482d,0x0000,0x8861,158.0,0x482d,0x0000,0x1a09,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:55:09.699824",6.292594,71,0x6e5f,0xffff,0x8841,30.0,0x6e5f,0xfffc,0x1209,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 13:55:10.849496",1.149672,74,0xe694,0xffff,0x8841,252.0,0xe694,0xfffc,0x1209,,,scenario1.pcapng
Philips Motion,Bulb,"Oct 16, 2023 13:55:13.710513",2.125436,74,0xe5c4,0xffff,0x8841,167.0,0xe5c4,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:55:13.842093",0.13158,68,0xc8f0,0xffff,0x8841,61.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 13:55:15.081669",1.239576,74,0x82eb,0xffff,0x8841,129.0,0x82eb,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:16.212579",1.13091,74,0x482d,0xffff,0x8841,161.0,0x482d,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 13:55:16.870949",0.65837,74,0x054f,0xffff,0x8841,183.0,0x054f,0xfffc,0x1209,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 13:55:16.934918",0.063969,65,0xebe5,0xffff,0x8841,182.0,0xebe5,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 13:55:17.333736",0.398818,74,0x0000,0xffff,0x8841,15.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 13:55:19.002210",0.167845,74,0x09ac,0xffff,0x8841,254.0,0x09ac,0xfffc,0x1209,,,scenario1.pcapng
Sonoff Motion 2,Motion,"Oct 16, 2023 13:55:19.340512",0.338302,12,0x4e52,0x0000,0x8863,245.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:55:24.762604",5.421326,71,0x6e5f,0xffff,0x8841,32.0,0x6e5f,0xfffc,0x1209,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 13:55:25.854707",1.092103,74,0xe694,0xffff,0x8841,253.0,0xe694,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:55:28.764475",2.909768,68,0xc8f0,0xffff,0x8841,62.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 13:55:30.094794",1.330319,74,0x82eb,0xffff,0x8841,130.0,0x82eb,0xfffc,0x1209,,,scenario1.pcapng
Philips Motion,Bulb,"Oct 16, 2023 13:55:30.881842",0.787048,74,0xe5c4,0xffff,0x8841,168.0,0xe5c4,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:31.233594",0.004753,52,0x482d,0x6e5f,0x8861,166.0,,,,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:55:31.235958",0.000354,107,0xc8f0,0x0000,0x886b,63.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:55:31.253400",0.005544,52,0x6e5f,0xc8f0,0x8861,36.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:31.269936",0.005928,45,0x482d,0x6e5f,0x8861,167.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:31.291087",0.002389,45,0x482d,0x6e5f,0x8861,167.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:31.295953",0.004866,45,0x482d,0x6e5f,0x8861,167.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:31.300677",0.004724,45,0x482d,0x6e5f,0x8861,168.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:31.332988",0.005279,45,0x482d,0x6e5f,0x8861,169.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:31.336840",0.003852,45,0x482d,0x6e5f,0x8861,169.0,,,,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:55:31.343798",0.002204,63,0xc8f0,0x0000,0x8861,68.0,,,,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:55:31.354629",0.00514,63,0xc8f0,0x0000,0x8861,68.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:31.358759",0.00413,45,0x482d,0x6e5f,0x8861,170.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:31.418637",0.002978,74,0x482d,0xffff,0x8841,173.0,0x482d,0xfffc,0x1209,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 13:55:32.015386",0.596749,65,0xebe5,0xffff,0x8841,183.0,0xebe5,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 13:55:33.070423",1.055037,74,0x054f,0xffff,0x8841,184.0,0x054f,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 13:55:34.128535",1.058112,74,0x0000,0xffff,0x8841,30.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 13:55:34.705502",0.576967,103,0x09ac,0xffff,0x8867,255.0,,,,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 13:55:37.381776",2.676274,55,0x054f,0x0000,0x8861,185.0,0x054f,0x0000,0x1a09,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 13:55:37.479852",0.005893,55,0x054f,0x0000,0x8861,187.0,0x054f,0x0000,0x1a09,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:55:39.756763",2.228592,71,0x6e5f,0xffff,0x8841,41.0,0x6e5f,0xfffc,0x1209,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 13:55:40.830889",1.074126,74,0xe694,0xffff,0x8841,0.0,0xe694,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:55:43.864580",3.033691,68,0xc8f0,0xffff,0x8841,71.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 13:55:45.086237",1.221657,74,0x82eb,0xffff,0x8841,131.0,0x82eb,0xfffc,0x1209,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 13:55:46.959754",1.873517,107,0xebe5,0xffff,0x886b,184.0,,,,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 13:55:47.785928",0.826174,74,0x054f,0xffff,0x8841,189.0,0x054f,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:55:47.805826",0.019898,74,0x482d,0xffff,0x8841,174.0,0x482d,0xfffc,0x1209,,,scenario1.pcapng
