Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Philips Motion,Bulb,"Oct 16, 2023 14:04:43.573138",1.41803,74,0xe5c4,0xffff,0x8841,231.0,0xe5c4,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 14:04:43.982241",0.409103,68,0xc8f0,0xffff,0x8841,199.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 14:04:45.146181",1.16394,74,0x82eb,0xffff,0x8841,174.0,0x82eb,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:04:45.297824",,60,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:45.300127",0.002303,5,,,0x0002,246.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:45.342570",,50,,,,,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:45.347201",,50,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:45.349184",0.001983,5,,,0x0002,110.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:45.353588",,50,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:45.355540",0.001952,5,,,0x0002,152.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:04:45.360728",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:04:45.362551",0.001823,5,,,0x0002,247.0,,,,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 14:04:47.024199",1.661648,107,0xebe5,0xffff,0x886b,236.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:04:50.809746",3.785547,74,0x482d,0xffff,0x8841,153.0,0x482d,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:04:54.796854",3.987108,71,0x6e5f,0xffff,0x8841,248.0,0x6e5f,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 14:04:54.882646",0.085792,74,0x054f,0xffff,0x8841,236.0,0x054f,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 14:04:55.770903",0.888257,74,0x09ac,0xffff,0x8841,47.0,0x09ac,0xfffc,0x1209,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 14:04:56.056675",0.285772,74,0xe694,0xffff,0x8841,97.0,0xe694,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:04:57.593551",1.536876,74,0x0000,0xffff,0x8841,111.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Philips Motion,Bulb,"Oct 16, 2023 14:04:58.711830",1.118279,74,0xe5c4,0xffff,0x8841,232.0,0xe5c4,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 14:04:58.934945",0.223115,68,0xc8f0,0xffff,0x8841,200.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 14:05:00.148744",1.213799,74,0x82eb,0xffff,0x8841,175.0,0x82eb,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.134222",,52,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.136227",0.002005,5,,,0x0002,112.0,,,,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 14:05:01.143962",,63,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.146361",0.002399,5,,,0x0002,98.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.168403",,52,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.170450",0.002047,5,,,0x0002,113.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:05:01.173618",,52,,,,,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.179851",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.181644",0.001793,5,,,0x0002,114.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:05:01.183692",,63,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.186091",0.002399,5,,,0x0002,249.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.192411",,54,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.194491",0.00208,5,,,0x0002,115.0,,,,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 14:05:01.202209",,66,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.204704",0.002495,5,,,0x0002,99.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.227889",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.229712",0.001823,5,,,0x0002,116.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:05:01.233534",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.235326",0.001792,5,,,0x0002,155.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.239504",,54,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.241615",0.002111,5,,,0x0002,117.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:05:01.244012",,54,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.246082",0.00207,5,,,0x0002,156.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.253017",,45,,,,,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.256970",,45,,,,,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.262305",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.264087",0.001782,5,,,0x0002,118.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.266969",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.268761",0.001792,5,,,0x0002,118.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:05:01.269494",0.000733,107,0x6e5f,0x0000,0x886b,250.0,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.271989",0.002495,5,,,0x0002,250.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.279082",,54,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.281193",0.002111,5,,,0x0002,119.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:05:01.285485",,54,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.287567",0.002082,5,,,0x0002,157.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:05:01.291290",,54,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.293370",0.00208,5,,,0x0002,251.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.295858",,52,,,,,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.300282",,52,,,,,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.304132",,52,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.306179",0.002047,5,,,0x0002,120.0,,,,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 14:05:01.306462",,66,,,,,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:05:01.309504",,52,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.311520",0.002016,5,,,0xccf2,158.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:05:01.315295",0.003775,52,0x6e5f,0xc8f0,0x8861,252.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:05:01.320146",,52,,,,,,,,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 14:05:01.324699",0.004553,106,0xc8f0,0x0000,0x886a,202.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.328431",,45,,,,,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.332206",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.334029",0.001823,5,,,0x0002,121.0,,,,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 14:05:01.335283",,66,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.337778",0.002495,5,,,0x0002,202.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:05:01.340825",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.342616",0.001791,5,,,0x0002,159.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 14:05:01.352377",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.354200",0.001823,5,,,0x0002,122.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 14:05:01.360542",,45,,,,,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 14:05:01.366051",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 14:05:01.367833",0.001782,5,,,0x0002,253.0,,,,,,scenario1.pcapng
