File Name,Original Size (KB),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),SNAPPY Size (KB),BROTLI Size (KB),LZ4 Size (KB),LZ4_RAW Size (KB),ZSTD Size (KB),LZO Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB)
Topology_A_fix_duration_5s_index_b54.npy,8440.822265625,1444.61328125,1612.5146484375,1077.15234375,1392.443359375,1969.2685546875,1058.5546875,1698.2763671875,1696.5107421875,1253.6689453125,1848.013671875,6298.180179976147,3149.0900899880735,4295.429605504652
Topology_A_fix_duration_5s_index_b40.npy,8440.822265625,1218.16015625,1262.69921875,836.55859375,1158.5244140625,1900.09765625,810.5322265625,1575.8173828125,1573.9345703125,1072.6611328125,1743.2236328125,4876.08718694639,2438.043593473195,3365.8800629807733
Topology_B_fix_duration_5s_index_b52.npy,12423.908203125,2079.1015625,2296.1357421875,1467.94921875,1886.1826171875,2844.3134765625,1443.9228515625,2399.2333984375,2396.400390625,1728.1875,2669.490234375,9297.853204231602,4648.926602115801,6432.6945577935785
Topology_B_fix_duration_5s_index_b47.npy,12423.908203125,1970.6044921875,2096.8720703125,1343.32421875,1753.9765625,2805.1328125,1334.4677734375,2335.513671875,2332.8212890625,1608.4208984375,2629.384765625,8472.196672569491,4236.0983362847455,5915.367427524564
Topology_B_fix_duration_5s_index_b20.npy,6242.349609375,990.783203125,981.396484375,666.88671875,943.0908203125,1510.556640625,640.3798828125,1322.71484375,1321.45703125,866.07421875,1421.8837890625,3796.6231073532176,1898.3115536766088,2740.380812207287
Topology_B_fix_duration_5s_index_b58.npy,12423.908203125,2159.4267578125,2398.552734375,1561.78515625,1997.2197265625,2893.9541015625,1554.4375,2457.232421875,2454.5126953125,1812.3447265625,2710.9248046875,9791.366632317919,4895.683316158959,6763.642579399449
Topology_B_fix_duration_5s_index_b44.npy,12423.908203125,1897.51953125,2000.5283203125,1285.30078125,1680.341796875,2794.05078125,1250.390625,2312.0576171875,2309.15625,1577.890625,2603.3974609375,8191.262196661724,4095.631098330862,5595.32566364756
Topology_B_fix_duration_5s_index_b48.npy,12423.908203125,1983.8955078125,2125.3330078125,1357.47265625,1781.5654296875,2808.5810546875,1360.3671875,2339.2060546875,2336.3896484375,1616.1875,2630.91796875,8508.581287284862,4254.290643642431,6023.031060534022
Topology_A_fix_duration_5s_index_b55.npy,8440.822265625,1452.484375,1626.0029296875,1082.90234375,1406.626953125,1970.7158203125,1071.1806640625,1703.62890625,1701.7138671875,1259.494140625,1852.318359375,6332.652365437783,3166.3261827188917,4382.706781468992
Topology_B_fix_duration_5s_index_b56.npy,12423.908203125,2126.728515625,2383.919921875,1534.6796875,1986.44921875,2866.5126953125,1530.1962890625,2434.353515625,2431.654296875,1778.896484375,2697.1669921875,9551.666215196748,4775.833107598374,6802.291291178918
