Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Smart Socket,Socket,"Oct 28, 2023 13:14:37.853981",0.159136,77,0xe1a6,0xffff,0x8841,91.0,0xe1a6,0xfffc,0x1209,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:37.953362",0.099381,77,0xec7f,0xffff,0x8841,74.0,0xec7f,0xfffc,0x1209,,,physicalInteraction1.pcapng
Power Plug 2,Socket,"Oct 28, 2023 13:14:38.585833",0.632471,74,0xa706,0xffff,0x8841,77.0,0xa706,0xfffc,0x1209,,,physicalInteraction1.pcapng
Aqara Door 1,Door,"Oct 28, 2023 13:14:39.004886",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:39.006933",0.002047,5,,,0x0002,103.0,,,,,,physicalInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 28, 2023 13:14:39.120867",0.113934,77,0x1cd8,0xffff,0x8841,165.0,0x1cd8,0xfffc,0x1209,,,physicalInteraction1.pcapng
Sonoff Door 1,Door,"Oct 28, 2023 13:14:39.479774",,54,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:39.481885",0.002111,5,,,0x0002,37.0,,,,,,physicalInteraction1.pcapng
Power Plug 1,Socket,"Oct 28, 2023 13:14:39.533148",0.051263,77,0x3d95,0xffff,0x8841,36.0,0x3d95,0xfffc,0x1209,,,physicalInteraction1.pcapng
Sonoff Door 1,Door,"Oct 28, 2023 13:14:39.987124",0.453976,12,0x946e,0x0000,0x8863,38.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:39.987891",0.000767,5,,,0x0002,38.0,,,,,,physicalInteraction1.pcapng
Philips Motion,Motion,"Oct 28, 2023 13:14:40.130811",0.14292,12,0x059b,0xec7f,0x8863,5.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:40.131565",0.000754,5,,,0x0002,5.0,,,,,,physicalInteraction1.pcapng
Moes Bulb,Bulb,"Oct 28, 2023 13:14:40.450877",0.319312,74,0x1e15,0xffff,0x8841,41.0,0x1e15,0xfffc,0x1209,,,physicalInteraction1.pcapng
Philips Motion,Motion,"Oct 28, 2023 13:14:40.457443",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:40.459477",0.002034,5,,,0x0002,6.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:40.465521",0.006044,57,0xec7f,0x0000,0x8861,75.0,0x059b,0x0000,0x1a09,,,physicalInteraction1.pcapng
