Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.255317000",0.005529,57,0xe5c4,0x0000,122.0,0x054f,0x0000
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.258466000",0.003149,57,0xe5c4,0x0000,122.0,0x054f,0x0000
Philips Motion,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:52.262656000",0.00419,57,0xe5c4,0x0000,122.0,0x054f,0x0000
Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,"Oct 17, 2023 12:51:53.303975000",0.229949,74,0x054f,0xffff,192.0,0x054f,0xfffc
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:53.315591000",0.011616,55,0x054f,0x0000,193.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:53.363775000",0.046041,59,0x054f,0x0000,194.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:53.414488000",0.005252,55,0x054f,0x0000,195.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:53.460446000",0.043815,45,0x054f,0x0000,196.0,0x054f,0x0000
Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,"Oct 17, 2023 12:52:07.624334000",0.315744,74,0x054f,0xffff,210.0,0x054f,0xfffc
Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,"Oct 17, 2023 12:52:23.452547000",4.284461,74,0x054f,0xffff,214.0,0x054f,0xfffc
Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,"Oct 17, 2023 12:52:38.486216000",0.575061,74,0x054f,0xffff,215.0,0x054f,0xfffc
